"chla_hplc","Rrs_412","Rrs_443","Rrs_469","Rrs_488","Rrs_531","Rrs_547","Rrs_555","Rrs_645","Rrs_667","Rrs_678","lat","lon"
2.041,0.0030200011096894,0.0026780010666698,0.0024920010473579,0.002478000940755,0.0021680009085685,0.0020860009826719,0.0018880009884014,0.000320001010550186,0.000264000991592184,0.000376001000404358,56.96,-52.21
0.113,0.0088180005550384,0.0079080006107687,0.0070240008644759,0.0060780011117458,0.0027500009164214,0.00212800106965,0.0017640009755268,0.000158000999363139,0.000180001006810926,0.000188000994967297,31.418,-121.998
0.1562,0.0062080011703073,0.0053380010649561,0.0049820011481642,0.0048440010286867,0.0032500009983778,0.0027080010622739,0.0023940009996294,0.000338001002091914,0.000280000997008756,0.000318000995321199,61.12033,-36.69992
0.10151,0.0131500009447336,0.0094100013375282,0.007970000617206,0.0062820008024573,0.0022200010716915,0.0016460010083392,0.001218001008965,8.20010027382523e-05,8.40010034153238e-05,4.60010014649015e-05,21.1663,-157.907
0.099463,0.013536000624299,0.0096620013937354,0.0081180008128285,0.0064260009676218,0.0022660009562969,0.0016300010029226,0.0012780010001733,0.000158000999363139,0.000120001001050696,0.000108000996988267,21.139,-157.927
0.08211,0.0130500011146068,0.0096240006387233,0.0082280011847615,0.0065100011415779,0.0024200009647756,0.0017540010157972,0.0014720009639859,0.000170001003425568,0.000138001007144339,0.00014600099530071,21.1504,-157.933
0.087093,0.0134160006418824,0.0098720006644725,0.0083320010453462,0.0065740011632442,0.0023920009844005,0.0017460009548813,0.0014760009944438,0.000214001003769226,0.000162001000717282,0.000156000998686068,21.1264,-157.942
0.303,0.0068480009213089,0.0061140009202063,0.0053860009647905,0.0049680010415613,0.0031780009157955,0.0025580010842531,0.002122001023963,0.000368000997696072,0.000296001002425328,0.000292001001071185,50.54,-49.11
0.081,0.0039140009321272,0.0040120012126863,0.0039220009930431,0.0036440009716898,0.0020360010676085,0.0016100009670481,0.0012800010154023,0.000178001006133854,9.40009995247237e-05,7.60010007070377e-05,48.94,-52.53
0.128,0.003882000921294,0.0040140012279152,0.0040060011669993,0.0037440010346472,0.0021660008933395,0.0017020009690895,0.0014660010347142,0.000262001005467027,0.000158000999363139,0.000168001002748497,49.41,-51.54
0.045,0.0072160009294748,0.0060560009442269,0.0052920011803507,0.0048900009132921,0.0026200010906904,0.0020180009305477,0.001798001001589,0.000296001002425328,0.000232000995310955,0.000270001008175313,0.46,-98.28
0.173,0.007286000996828,0.0056340009905397,0.0054100011475384,0.0049160011112689,0.0025540010537952,0.0019880009349435,0.0016520010540261,0.000242000998696312,0.000166001002071425,0.00020600100106094,-3.8,-110.22
0.273,0.0077840010635554,0.006218000780791,0.0057680010795593,0.0050500012002885,0.00229800096713,0.0017300009494647,0.0014280009781941,0.000158000999363139,0.000148000995977782,0.000200000999029726,-4.25,-111.48
0.192,0.008598000742495,0.0067000011913478,0.006044000852853,0.0053860009647905,0.0025080009363591,0.0018880009884014,0.0015600010519847,0.000176001005456783,0.000152000997331925,0.000210001002415083,-5.3,-114.41
0.43102,0.0032100009266287,0.0032640011049807,0.0033800010569393,0.0034200008958578,0.0030800011008977,0.0028160009533166,0.0026340009644627,0.000502001028507948,0.00035800100886263,0.000372000999050215,67.522,-168.856
0.0656312,0.0026740010362118,0.0030280009377747,0.0031140008941292,0.0031240009702742,0.002076000906527,0.001728001050651,0.0015300010563805,0.00022600099327974,0.000176001005456783,0.000170001003425568,68.5204,-167.386
0.054,0.0139740006998181,0.0114520005881786,0.0094560012221336,0.0073620011098682,0.0025840010493993,0.0019380010198801,0.001614000997506,0.000232000995310955,0.000188000994967297,0.000162001000717282,31.684,-64.199
0.10072,0.0038240009453147,0.0038340010214596,0.0036800010129809,0.0033680009655654,0.0022820010781288,0.0018500010482966,0.0016420009778812,0.00030600099125877,0.000230000994633883,0.000212001003092155,70.467,-163.098
0.141,0.0092920009046792,0.0069280010648071,0.0062300008721649,0.005354001186788,0.0021440009586513,0.0015940009616315,0.0013040009653195,8.80009974935092e-05,0.000158000999363139,0.000222001006477512,-11.4,-131.68
0.052319,0.0041920011863112,0.0045380010269582,0.0049160011112689,0.0049740010872483,0.0035800009500235,0.0029520010575652,0.0025700009427964,0.000326000998029485,0.00022600099327974,0.000220001005800441,70.769,-161.331
0.12,0.0097980005666613,0.0074180010706186,0.0065040010958909,0.0055780010297894,0.0021980009041726,0.0016680009430274,0.0013080009957775,0.000164001001394354,0.000150000996654853,0.00020600100106094,-11.83,-132.9
0.1705,0.0054000010713934,0.0050420011393725,0.0046120011247694,0.0040400009602308,0.0021980009041726,0.0017120010452345,0.0014700009487569,0.000174001004779711,0.000136001006467268,0.000144000994623639,43.36,7.904
0.584,0.0039300010539591,0.0033620009198784,0.0032980008982121,0.0030660009942948,0.0020660010632127,0.0017220010049641,0.0015420010313391,0.000230000994633883,0.000190000995644368,0.000264000991592184,-32.12,152.93
0.518,0.0039200009778141,0.0032940011005848,0.0032320010941475,0.0030460010748356,0.0019380010198801,0.0016080009518191,0.0014620010042563,0.000156000998686068,0.000174001004779711,0.000254001002758741,-32.68,152.63
0.474,0.0046400008723139,0.0042940010316669,0.0041700010187923,0.0037900009192526,0.0020400010980665,0.0016540009528398,0.0014740009792149,0.000208001001738012,0.000170001003425568,0.000214001003769226,-33.23,152.08
0.377,0.003142001107335,0.0032320010941475,0.0030200011096894,0.0031200009398162,0.0021080009173601,0.0017840010114014,0.0017040009843185,0.000244000999373384,0.00012600100308191,0.000196000997675583,-36.5,150.45
1.182,0.0034060010220855,0.0027460008859634,0.0024540009908378,0.0023100010585039,0.0016420009778812,0.00139800098259,0.0012700010556727,0.000166001002071425,0.000148000995977782,0.000284000998362899,-37.75,149.98
0.594,0.0054740011692047,0.004456000868231,0.0039300010539591,0.0035480009391903,0.0020940010435879,0.0016920010093599,0.001500000944361,0.000202000999706797,0.000188000994967297,0.000280000997008756,-38.17,149.2
